Id,GithubUrl,Role
11987413,josephreubenbautista,"['Frontend', 'FullStack']"
10174710,mujjazi,['Mobile']
418131,beatrupp,['Mobile']
425741,alejandroiglesias,['Frontend']
4654400,pdelboca,['DataScience']
6524301,johnlewissims,['FullStack']
8404508,rmeissn,['DevOps']
433061,bdetweiler,['DevOps']
6527598,samitier,['Frontend']
433780,slawekkolodziej,['FullStack']
8407208,abdulmoizshaikh,"['Mobile', 'FullStack']"
12001877,jpmc3630,['FullStack']
2768529,mohan-s-gopal,['FullStack']
6529306,ajpwilson,['Frontend']
4665097,paolazaratem,['Frontend']
10192796,rohitdubey03,['DataScience']
8411937,lrabuffetti,"['Frontend', 'DevOps']"
10187911,benneee,['Frontend']
12003865,hasanse,"['Frontend', 'Mobile']"
441047,Xaxis,['FullStack']
443839,mgodwin,['FullStack']
6535392,intersim,"['Frontend', 'FullStack']"
6535426,hungqcao,"['Frontend', 'Backend']"
13958216,jimtheo-dev,"['Backend', 'Mobile']"
2773398,deebloo,['Frontend']
8416569,msklyarov,['Mobile']
2776566,rdrozdowski,['Frontend']
6535217,melaniew,['Frontend']
6535616,kavalcante,['Frontend']
12010589,DaKwanT,['Backend']
12005037,dkp1903,['FullStack']
4674965,jifarooq,"['Frontend', 'Backend']"
4676001,monogatari42,['FullStack']
2779807,FrankHassanabad,['FullStack']
4672917,juliomotol,['FullStack']
13959803,daalimouhcine,['Frontend']
457268,k0pernikus,['Backend']
464923,williamqliu,['FullStack']
6543357,surajzinjad,['DevOps']
2780428,alicj,"['Frontend', 'Backend']"
13963669,cmdrguyson,['Mobile']
10205115,coryjbergquist,['FullStack']
8428950,cagriaydin,"['Mobile', 'FullStack']"
4678238,emoreno619,['FullStack']
467722,leucos,['DevOps']
8427047,topwebtek7,['FullStack']
13970340,anagh534,['FullStack']
8427476,mahender-vutkuri,['Frontend']
4685525,ahmetkotan,['FullStack']
472974,sbuggay,['Frontend']
470682,khanmurtuza,['Mobile']
2789652,Damiya,['Frontend']
12023432,sankarsans,"['Frontend', 'Mobile']"
12020293,mylex,['FullStack']
8429338,damienlancry,['DataScience']
6546138,s2606,['Backend']
476116,stackoverflow,['Backend']
4691423,ojasd,['FullStack']
4687451,bot101,"['Mobile', 'FullStack']"
10214220,kshitijyad,['DataScience']
4692466,domzinhuu,['Mobile']
2796772,parabuzzle,['DevOps']
12030143,joshuabaroni,['FullStack']
12030498,sreevardhanreddi,['FullStack']
6552540,vikashvk,['Mobile']
10218312,sidjain1412,['DataScience']
10215265,morgscode,['Frontend']
8439576,mohith7548,['Mobile']
8440292,srukshan98,['Mobile']
492620,oz123,"['Backend', 'DevOps']"
493662,samarulraj,['FullStack']
12034758,vitor-avanco,['Frontend']
13981530,safwan-samsudeen,['Backend']
13983584,badalsherpa,"['Frontend', 'Backend', 'FullStack']"
8444808,fabriziomiano,"['DataScience', 'FullStack']"
500207,fasiha,['FullStack']
6563219,carlosrberto,['Frontend']
13980423,crse,['Mobile']
13987979,benneighbour,['FullStack']
4699904,all4gis,['FullStack']
4703782,dmk1111,"['Frontend', 'Backend']"
8446899,dpark926,['FullStack']
6567101,asimolovegym,['Frontend']
510854,spapageo,"['Backend', 'FullStack']"
12039696,manish-joshi-1996,['Frontend']
6565832,abhinav1602,['FullStack']
6569311,echo304,"['Mobile', 'FullStack']"
505165,petrushev,['DataScience']
520229,mrzli,['FullStack']
512868,nylo-andry,"['Frontend', 'Backend']"
12045916,jhasubhash,"['Frontend', 'Backend', 'FullStack']"
6574466,walternyeko,['FullStack']
516384,krvladislav,['Backend']
518163,romanlazunin,['FullStack']
12043307,daanlima,['Frontend']
2809177,rluena,"['Frontend', 'Backend']"
12044860,shannengrimes,['FullStack']
13995396,achudan,['FullStack']
13998506,heimerdingerbot,['FullStack']
525398,binocarlos,['DevOps']
10239403,dsound-zz,['FullStack']
8457351,balumn,"['Backend', 'DevOps']"
10238826,stormblade97,['FullStack']
10239185,besufkadmenji,"['Mobile', 'FullStack']"
8456508,benticarlos,['FullStack']
2821842,harryandriyan,"['Frontend', 'Backend']"
14000161,felipepitol,['Frontend']
4719735,everettjf,['FullStack']
4719916,girishbaranda,['FullStack']
2823106,slawciu,"['Mobile', 'FullStack']"
6582205,bhaltair,['Frontend']
2825522,leega0,['Frontend']
529199,atillabaspinar,['FullStack']
13999797,chetanrakhra,"['Backend', 'FullStack']"
12053643,engelpain,['FullStack']
12054261,shubhammahalank,['DataScience']
8461517,zurek11,['Backend']
6580318,knightconan,"['DataScience', 'FullStack']"
6580467,lavanyamano,['Mobile']
2830373,chojayr,['DevOps']
14007748,subhalingamd,['FullStack']
2830164,satyajitrpatnaik,['FullStack']
2826856,satishnaidu,['FullStack']
4722804,krismorte,['DevOps']
548568,blessenm,['Mobile']
548712,dougedey,['FullStack']
4726968,schramm80,['Backend']
546686,cbrandolino,['Frontend']
4731632,karolharumi,['Frontend']
2838274,driptap,['FullStack']
4730183,kamranshahzad,['FullStack']
4738227,gopinath-langote,['Mobile']
4734272,olveirap,['DataScience']
6597936,brionna,['FullStack']
10255629,tflearydev,['FullStack']
14021021,piyushpalod,['Frontend']
2850476,julianlopezb,"['DataScience', 'FullStack']"
12075598,cristopheryusuke,['Frontend']
4741571,ericbaranowski,['DevOps']
2850383,kamerk22,"['DevOps', 'FullStack']"
6605649,mconstanza,['FullStack']
6606000,alanssoares,['Mobile']
14024134,iagxferreira,['Backend']
581229,theleebriggs,['FullStack']
568838,fadehelix,['Frontend']
584081,abanoubnassem,"['Mobile', 'FullStack']"
6611055,weiji14,['DataScience']
6608273,mesarikaya,"['Backend', 'DataScience', 'FullStack']"
12079268,nikolatosic-sudo,['FullStack']
10265268,abdelhak51,['FullStack']
8488817,dorinmusteata,['Backend']
6609728,epidarian,['DevOps']
6612243,awennersteen,['FullStack']
